district,pop2013,homeless2013,pcthomeless2013,pop2004,homeless2004,pcthomeless2004,changehomeless,changepop
Limon RE-4J,473,5,1.1,572,0,0,n/a,-17.3
Hanover 28,251,28,11.2,305,0,0,n/a,-17.7
Kiowa C-2,344,1,0.3,422,0,0,n/a,-18.5
Las Animas RE-1,492,0,0,605,0,0,n/a,-18.7
North Park R-1,213,0,0,263,0,0,n/a,-19.0
Clear Creek RE-1,930,6,0.6,1154,0,0,n/a,-19.4
Primero Reorganized 2,196,0,0,246,0,0,n/a,-20.3
Centennial R-1,208,11,5.3,263,0,0,n/a,-20.9
Crowley County RE-1-J,448,0,0,579,0,0,n/a,-22.6
Deer Trail 26J,176,0,0,230,0,0,n/a,-23.5
Walsh RE-1,156,0,0,204,0,0,n/a,-23.5
Woodlin R-104,90,2,2.2,119,0,0,n/a,-24.4
Liberty J-4,69,0,0,92,0,0,n/a,-25.0
Platte Canyon,1031,0,0,1380,0,0,n/a,-25.3
La Veta RE-2,191,0,0,258,0,0,n/a,-26.0
Kim Reorganized 88,46,0,0,63,0,0,n/a,-27.0
Wiley RE-13-JT,226,0,0,310,0,0,n/a,-27.1
De Beque 49-JT,146,1,0.7,201,0,0,n/a,-27.4
Pawnee RE-12,88,0,0,122,0,0,n/a,-27.9
Huerfano RE-1,511,0,0,716,0,0,n/a,-28.6
Granada RE-1,202,0,0,284,0,0,n/a,-28.9
Aguilar Reorganized 6,107,0,0,151,0,0,n/a,-29.1
South Conejos RE-10,215,10,4.7,309,0,0,n/a,-30.4
Pritchett RE-3,53,0,0,77,0,0,n/a,-31.2
Cheyenne County RE-5,179,1,0.6,261,0,0,n/a,-31.4
Stratton R-4,186,2,1.1,273,0,0,n/a,-31.9
Manzanola 3J,137,0,0,204,0,0,n/a,-32.8
Del Norte C-7,443,30,6.8,661,0,0,n/a,-33.0
Trinidad 1,1019,8,0.8,1522,0,0,n/a,-33.0
Elbert 200,198,0,0,300,0,0,n/a,-34.0
Calhan RJ-1,472,0,0,720,0,0,n/a,-34.4
West End RE-2,258,0,0,402,0,0,n/a,-35.8
Karval RE-23,100,0,0,167,0,0,n/a,-40.1
Campo RE-6,44,0,0,75,0,0,n/a,-41.3
Cotopaxi RE-3,211,0,0,361,0,0,n/a,-41.6
Branson Reorganized 82,480,0,0,979,0,0,n/a,-51.0
Vilas RE-5,127,0,0,448,0,0,n/a,-71.7
Delta County 50-J,5062,101,2,5141,1,0,10000,-1.5
Falcon 49,18880,47,0.2,10072,1,0,4600,87.5
Center 26-JT,657,88,13.4,673,2,0.3,4300,-2.4
Montrose County RE-1J,6200,230,3.7,5805,6,0.1,3733,6.8
Alamosa RE-11J,2046,74,3.6,2252,2,0.1,3600,-9.1
Greeley 6,20450,1073,5.2,17985,61,0.3,1659,13.7
Eaton RE-2,1837,29,1.6,1593,2,0.1,1350,15.3
Woodland Park RE-2,2586,13,0.5,3101,1,0,1200,-16.6
Platte Valley RE-7,1094,23,2.1,1141,2,0.2,1050,-4.1
Aurora Public Schools,40877,2300,5.6,32251,237,0.7,870,26.7
Wray RD-2,724,25,3.5,701,3,0.4,733,3.3
Cherry Creek 5,54226,52,0.1,47868,7,0,643,13.3
Windsor RE-4,4821,26,0.5,3152,4,0.1,550,53.0
Littleton 6,15830,232,1.5,16245,36,0.2,544,-2.6
Academy 20,24481,75,0.3,19825,12,0.1,525,23.5
Colorado Springs 11,28404,437,1.5,31421,79,0.3,453,-9.6
Keenesburg RE-3J,2306,78,3.4,1936,16,0.8,388,19.1
Adams 12 Five Star Schools,42230,1055,2.5,36360,281,0.8,275,16.1
Mountain Valley RE-1,135,29,21.5,152,8,5.3,263,-11.2
Weldon Valley RE-20J,221,7,3.2,215,2,0.9,250,2.8
Boulder Valley RE-2,30546,400,1.3,27926,123,0.4,225,9.4
Englewood 1,2835,188,6.6,3883,61,1.6,208,-27.0
Gilpin County RE-1,421,3,0.7,388,1,0.3,200,8.5
Akron R-1,358,3,0.8,423,1,0.2,200,-15.4
Sheridan 2,1583,233,14.7,1749,78,4.5,199,-9.5
Fort Morgan RE-3,3205,183,5.7,3267,62,1.9,195,-1.9
Lamar RE-2,1664,49,2.9,1799,18,1,172,-7.5
St Vrain Valley RE-1J,30195,1060,3.5,22180,391,1.8,171,36.1
Jefferson County R-1,85983,1731,2,86877,717,0.8,141,-1.0
Durango 9-R,4659,35,0.8,4615,15,0.3,133,1.0
Mancos RE-6,416,7,1.7,430,3,0.7,133,-3.3
Weld County RE-1,1922,31,1.6,2021,14,0.7,121,-4.9
Thompson R2-J,16210,400,2.5,15030,210,1.4,90,7.9
Poudre R-1,28439,588,2.1,25000,326,1.3,80,13.8
Weld County RE-8,2415,8,0.3,2565,5,0.2,60,-5.8
Denver County 1,86043,1066,1.2,72412,753,1,42,18.8
Holyoke RE-1J,568,4,0.7,641,3,0.5,33,-11.4
Mapleton 1,8408,152,1.8,5704,115,2,32,47.4
Brighton 27J,16698,254,1.5,9256,200,2.2,27,80.4
Cripple Creek-Victor RE-1,379,33,8.7,596,27,4.5,22,-36.4
Pueblo City 60,17990,1108,6.2,17600,940,5.3,18,2.2
Westminster 50,10101,837,8.3,10671,716,6.7,17,-5.3
Mesa County Valley 51,21894,155,0.7,20130,151,0.8,3,8.8
Widefield 3,9364,56,0.6,8508,68,0.8,-18,10.1
Brush RE-2J,1564,22,1.4,1537,28,1.8,-21,1.8
Harrison 2,11179,70,0.6,10707,133,1.2,-47,4.4
Cheyenne Mountain 12,5127,4,0.1,4475,8,0.2,-50,14.6
Pueblo County 70,9257,2,0,8185,6,0.1,-67,13.1
Salida R-32,1176,6,0.5,1184,20,1.7,-70,-0.7
East Grand 2,1264,3,0.2,1304,12,0.9,-75,-3.1
East Otero R-1,1309,3,0.2,1584,12,0.8,-75,-17.4
Eagle County RE 50,6520,30,0.5,5157,132,2.6,-77,26.4
Estes Park R-3,1096,3,0.3,1260,24,1.9,-88,-13.0
Archuleta County 50 JT,1323,1,0.1,1577,27,1.7,-96,-16.1
Julesburg RE-1,955,0,0,318,2,0.6,-100,200.3
Centennial BOCES,185,0,0,123,22,17.9,-100,50.4
Buena Vista R-31,968,0,0,968,1,0.1,-100,0.0
Miami-Yoder 60-JT,307,0,0,402,5,1.2,-100,-23.6
Ouray R-1,197,0,0,278,6,2.2,-100,-29.1
Agate 300,12,0,0,91,2,2.2,-100,-86.8
